datetime,in_avg_response_time,in_throughput,in_progress_requests,http_error_count,ballerina_error_count,cpu,memory,cpuPercentage,memoryPercentage,is_anomaly
2021-02-23 06:11:10+00:00,0,0,0,0,0,3.150522,366.5859375,0.3150522,52.3694196428571,0
2021-02-23 06:11:20+00:00,0,0,0,0,0,3.150522,366.5859375,0.3150522,52.3694196428571,0
2021-02-23 06:11:30+00:00,0,0,0,0,0,3.150522,366.5859375,0.3150522,52.3694196428571,0
2021-02-23 06:11:40+00:00,0,0,0,0,0,3.150522,366.5859375,0.3150522,52.3694196428571,0
2021-02-23 06:11:50+00:00,0,0,0,0,0,3.150522,366.5859375,0.3150522,52.3694196428571,0
2021-02-23 06:12:00+00:00,0,0,0,0,0,2.846513,366.5859375,0.2846513,52.3694196428571,0
2021-02-23 06:12:10+00:00,0,0,0,0,0,2.846513,366.5859375,0.2846513,52.3694196428571,0
2021-02-23 06:12:20+00:00,0,0,0,0,0,2.846513,366.5859375,0.2846513,52.3694196428571,0
2021-02-23 06:12:30+00:00,0,0,0,0,0,2.846513,366.5859375,0.2846513,52.3694196428571,0
2021-02-23 06:12:40+00:00,182.131424521531,47.0040831829836,4.2601315328079,0,0,2.846513,366.5859375,0.2846513,52.3694196428571,0
2021-02-23 06:12:50+00:00,153.166246311312,63.9781678787887,4.90236913323228,0,0,2.846513,366.5859375,0.2846513,52.3694196428571,0
2021-02-23 06:13:00+00:00,148.13932386833,64.1333101234594,4.73935592194804,0,0,235.272766,366.74609375,23.5272766,52.3922991071429,0
2021-02-23 06:13:10+00:00,139.55265495962,64.8642836650456,4.52235265137851,0,0,235.272766,366.74609375,23.5272766,52.3922991071429,0
2021-02-23 06:13:20+00:00,156.744972959915,44.738266388219,3.50269246513771,0,0,235.272766,366.74609375,23.5272766,52.3922991071429,0
2021-02-23 06:13:30+00:00,177.115830314971,58.2985187998481,5.15884885681732,0,0,235.272766,366.74609375,23.5272766,52.3922991071429,0
2021-02-23 06:13:40+00:00,146.294999376136,64.3420514247502,4.67620333478479,0,0,235.272766,366.74609375,23.5272766,52.3922991071429,0
2021-02-23 06:13:50+00:00,145.932728008271,64.4790674987238,4.67829136573894,0,0,235.272766,366.74609375,23.5272766,52.3922991071429,0
2021-02-23 06:14:00+00:00,168.306359733594,62.8912919749573,5.28055850863214,0,0,135.840262,366.75,13.5840262,52.3928571428571,0
