datetime,in_avg_response_time,in_throughput,in_progress_requests,http_error_count,ballerina_error_count,cpu,memory,cpuPercentage,memoryPercentage,is_anomaly
2021-02-25 14:40:00+00:00,0.0,0.0,0.0,0,0,2.940036,324.78515625,0.2940036,46.39787946428572,0
2021-02-25 14:40:10+00:00,0.0,0.0,0.0,0,0,2.940036,324.78515625,0.2940036,46.39787946428572,0
2021-02-25 14:40:20+00:00,0.0,0.0,0.0,0,0,2.940036,324.78515625,0.2940036,46.39787946428572,0
2021-02-25 14:40:30+00:00,0.0,0.0,0.0,0,0,2.940036,324.78515625,0.2940036,46.39787946428572,0
2021-02-25 14:40:40+00:00,0.0,0.0,0.0,0,0,2.940036,324.78515625,0.2940036,46.39787946428572,0
2021-02-25 14:40:50+00:00,0.0,0.0,0.0,0,0,2.940036,324.78515625,0.2940036,46.39787946428572,0
2021-02-25 14:41:00+00:00,0.0,0.0,0.0,0,0,3.544517,324.83203125,0.3544517,46.40457589285714,0
2021-02-25 14:41:10+00:00,0.0,0.0,0.0,0,0,3.544517,324.83203125,0.3544517,46.40457589285714,0
2021-02-25 14:41:20+00:00,0.0,0.0,0.0,0,0,3.544517,324.83203125,0.3544517,46.40457589285714,0
2021-02-25 14:41:30+00:00,0.0,0.0,0.0,0,0,3.544517,324.83203125,0.3544517,46.40457589285714,0
2021-02-25 14:41:40+00:00,774.7000640761904,40.78858650349372,7.899730144458456,0,0,3.544517,324.83203125,0.3544517,46.40457589285714,0
2021-02-25 14:41:50+00:00,50.505987556291394,28.66090917718516,1.4475475222549117,0,0,3.544517,324.83203125,0.3544517,46.40457589285714,0
2021-02-25 14:42:10+00:00,94.166306875,28.69413381255366,1.3510087380949425,0,0,105.529227,324.90234375,10.5529227,46.414620535714285,0
2021-02-25 14:42:20+00:00,190.30255185388995,18.44320438853684,1.7568104825498914,0,0,105.529227,324.90234375,10.5529227,46.414620535714285,0
2021-02-25 14:42:30+00:00,108.8107067736928,28.34444880345233,1.5433549324244802,0,0,105.529227,324.90234375,10.5529227,46.414620535714285,0
2021-02-25 14:42:40+00:00,113.7357616155771,28.46299810246679,1.6138510312144212,0,0,105.529227,324.90234375,10.5529227,46.414620535714285,0
2021-02-25 14:42:50+00:00,855.0055339517861,38.45985145041499,8.220846456267111,0,0,105.529227,324.90234375,10.5529227,46.414620535714285,0
2021-02-25 14:43:00+00:00,61.95397382491583,28.194418074805395,1.7467562394152272,0,0,84.875329,324.96484375,8.4875329,46.42354910714286,0
2021-02-25 14:43:10+00:00,99.26566984437216,28.81230933961892,1.4311202743354148,0,0,84.875329,324.96484375,8.4875329,46.42354910714286,0
2021-02-25 14:43:20+00:00,150.42707472231183,19.4895835008104,1.465459648681461,0,0,84.875329,324.96484375,8.4875329,46.42354910714286,0
2021-02-25 14:43:30+00:00,476.9547688411805,56.16952160881432,6.697580298712932,0,0,84.875329,324.96484375,8.4875329,46.42354910714286,0
2021-02-25 14:43:40+00:00,48.257695257525086,28.38427947598253,1.369759909056389,0,0,84.875329,324.96484375,8.4875329,46.42354910714286,0
2021-02-25 14:43:50+00:00,188.6132084956078,17.49832945295484,1.6411679112344228,0,0,84.875329,324.96484375,8.4875329,46.42354910714286,0
2021-02-25 14:44:00+00:00,566.03873554772,57.26995079739429,8.104252633559302,0,0,77.752172,325.03515625,7.775217199999999,46.43359375,0
2021-02-25 14:44:10+00:00,96.91320398922056,28.06364806768655,1.3569368527273804,0,0,77.752172,325.03515625,7.775217199999999,46.43359375,0
2021-02-25 14:44:20+00:00,390.8133276446987,42.30102476497362,4.132951062795037,0,0,77.752172,325.03515625,7.775217199999999,46.43359375,0
2021-02-25 14:44:30+00:00,80.08621591851852,25.59484311309129,2.049794131955636,0,0,77.752172,325.03515625,7.775217199999999,46.43359375,0
2021-02-25 14:44:40+00:00,47.40935967333333,28.50085502565077,1.3512072869086074,0,0,77.752172,325.03515625,7.775217199999999,46.43359375,0
2021-02-25 14:45:00+00:00,64.51897033691756,26.40545144804089,1.7036525387090666,0,0,100.437312,325.08984375,10.0437312,46.44140625,0
2021-02-25 14:45:10+00:00,320.17095756985293,17.523385658687186,2.801088398118338,0,0,100.437312,325.08984375,10.0437312,46.44140625,0
2021-02-25 14:45:20+00:00,97.54100142085768,28.76812134283336,1.4038769355201324,0,0,100.437312,325.08984375,10.0437312,46.44140625,0
2021-02-25 14:45:30+00:00,98.82358200223888,28.96486229819564,1.4328618867996203,0,0,100.437312,325.08984375,10.0437312,46.44140625,0
2021-02-25 14:45:40+00:00,1111.712208596206,34.317828356342595,9.537887189063785,0,0,100.437312,325.08984375,10.0437312,46.44140625,0
2021-02-25 14:45:50+00:00,99.28516857878466,28.551125237130908,1.4171287571174005,0,0,100.437312,325.08984375,10.0437312,46.44140625,0
2021-02-25 14:46:00+00:00,377.8303178229906,57.1289490190042,5.396262241185946,0,0,109.335622,325.44140625,10.9335622,46.49162946428572,0
2021-02-25 14:46:10+00:00,79.34827617989419,18.32816136539953,1.4543080098913888,0,0,109.335622,325.44140625,10.9335622,46.49162946428572,0
2021-02-25 14:46:20+00:00,114.3826945748674,28.439873903365097,1.6171809630398717,0,0,109.335622,325.44140625,10.9335622,46.49162946428572,0
2021-02-25 14:46:30+00:00,388.1835743203366,55.62659714032866,5.398332826302548,0,0,109.335622,325.44140625,10.9335622,46.49162946428572,0
2021-02-25 14:46:40+00:00,101.50973496296297,18.751614458661248,0.9545455141696372,0,0,109.335622,325.44140625,10.9335622,46.49162946428572,0
