datetime,in_avg_response_time,in_throughput,in_progress_requests,http_error_count,ballerina_error_count,cpu,memory,cpuPercentage,memoryPercentage,is_anomaly
2021-02-23 05:30:00+00:00,0,0,0,0,0,7.104738,359.05078125,0.7104738,51.29296875,0
2021-02-23 05:30:10+00:00,0,0,0,0,0,7.104738,359.05078125,0.7104738,51.29296875,0
2021-02-23 05:30:30+00:00,0,0,0,0,0,7.104738,359.05078125,0.7104738,51.29296875,0
2021-02-23 05:30:40+00:00,0,0,0,0,0,7.104738,359.05078125,0.7104738,51.29296875,0
2021-02-23 05:30:50+00:00,145.638914,0.189960583607411,0.013832668099383,0,0,7.104738,359.05078125,0.7104738,51.29296875,0
2021-02-23 05:31:00+00:00,25456.9348960357,1.42450142450142,18.242451594397,0,0,5.987373,359.078125,0.5987373,51.296875,1
2021-02-23 05:31:10+00:00,321687.170416,0.759770174663792,61.1020794135163,0,0,5.987373,359.078125,0.5987373,51.296875,1
2021-02-23 05:31:20+00:00,80355.0164585,0.379128952086031,15.2324558220706,0,0,5.987373,359.078125,0.5987373,51.296875,1
2021-02-23 05:31:30+00:00,99777.8816843333,0.378357926598562,18.9003584323685,0,0,5.987373,359.078125,0.5987373,51.296875,1
2021-02-23 05:31:40+00:00,75486.809371823,2.84575981787137,106.58163568099,0,2,5.987373,359.078125,0.5987373,51.296875,1
2021-02-23 05:31:50+00:00,154.12152721282,54.0093421564811,4.16541884312962,0,0,5.987373,359.078125,0.5987373,51.296875,0
2021-02-23 05:32:00+00:00,576.468909832817,127.40377773537,18.3610792149228,0,0,216.521712,359.13671875,21.6521712,51.3052455357143,0
2021-02-23 05:32:10+00:00,161.383681731966,63.9065531393674,5.15693145699955,0,0,216.521712,359.13671875,21.6521712,51.3052455357143,0
2021-02-23 05:32:20+00:00,146.352154135253,63.928119558247,4.67040878155643,0,0,216.521712,359.13671875,21.6521712,51.3052455357143,0
2021-02-23 05:32:30+00:00,167.401060156956,40.6590900111348,3.40586271039982,0,0,216.521712,359.13671875,21.6521712,51.3052455357143,0
2021-02-23 05:32:40+00:00,192.161632822406,60.7155502951742,5.82664082182662,0,0,216.521712,359.13671875,21.6521712,51.3052455357143,0
2021-02-23 05:32:50+00:00,150.241057034634,63.3442039961848,4.75792604204976,0,0,216.521712,359.13671875,21.6521712,51.3052455357143,0
2021-02-23 05:33:00+00:00,178.905193780764,62.4201581154323,5.59117513997379,0,0,228.784106,359.546875,22.8784106,51.3638392857143,0
2021-02-23 05:33:10+00:00,158.368756432223,62.4287343215507,4.94890821208666,0,0,228.784106,359.546875,22.8784106,51.3638392857143,0
2021-02-23 05:33:20+00:00,699.979290475694,89.6617923979537,15.6903494563747,0,0,228.784106,359.546875,22.8784106,51.3638392857143,0
2021-02-23 05:33:30+00:00,152.660740649356,63.5338493593557,4.85873295290574,0,0,228.784106,359.546875,22.8784106,51.3638392857143,0
2021-02-23 05:33:50+00:00,157.24692385108,64.2280285035629,5.04869225244656,0,0,228.784106,359.546875,22.8784106,51.3638392857143,0
2021-02-23 05:34:00+00:00,138.755507423913,39.0508731232906,2.71415947894297,0,0,116.272113,359.87890625,11.6272113,51.4112723214286,0
2021-02-23 05:34:10+00:00,20127.969887,0.393255666289694,3.95771925033067,0,0,116.272113,359.87890625,11.6272113,51.4112723214286,1
2021-02-23 05:34:20+00:00,3881.05329231484,27.7434679334917,53.9014544379097,0,0,116.272113,359.87890625,11.6272113,51.4112723214286,0
2021-02-23 05:34:30+00:00,317.713534791368,39.0535917901938,6.02522876130749,0,0,116.272113,359.87890625,11.6272113,51.4112723214286,0
2021-02-23 05:34:40+00:00,132.657880471723,65.2421652421652,4.34707380246914,0,0,116.272113,359.87890625,11.6272113,51.4112723214286,0
2021-02-23 05:34:50+00:00,146.341942332219,64.0319209576287,4.6980758431503,0,0,116.272113,359.87890625,11.6272113,51.4112723214286,0
2021-02-23 05:35:00+00:00,141.198889547971,64.4735601847488,4.55369414431143,0,0,155.853216,359.95703125,15.5853216,51.4224330357143,0
2021-02-23 05:35:10+00:00,173.527405229762,62.4610759347385,5.43932176918997,0,0,155.853216,359.95703125,15.5853216,51.4224330357143,0
2021-02-23 05:35:20+00:00,138.698142510659,8.96775034117122,0.624627324875891,0,0,155.853216,359.95703125,15.5853216,51.4224330357143,0
2021-02-23 05:35:30+00:00,20116.967361,0.379470638459349,3.81689922417228,0,0,155.853216,359.95703125,15.5853216,51.4224330357143,1
2021-02-23 05:35:40+00:00,39389.0758720222,2.28042045734622,44.7140232716183,0,0,155.853216,359.95703125,15.5853216,51.4224330357143,1
2021-02-23 05:35:50+00:00,27029.0673416385,2.18021159661593,29.4411921379396,0,0,155.853216,359.95703125,15.5853216,51.4224330357143,1
2021-02-23 05:36:00+00:00,1827.60688274942,41.0314319316659,37.5439446311192,0,0,22.786701,360.12109375,2.2786701,51.4458705357143,0
2021-02-23 05:36:10+00:00,159.889225879491,56.1496179802259,4.49708132034286,0,0,22.786701,360.12109375,2.2786701,51.4458705357143,0
2021-02-23 05:36:20+00:00,0,0,0,0,0,22.786701,360.12109375,2.2786701,51.4458705357143,0
2021-02-23 05:36:30+00:00,20192.9603303333,0.380074590281596,3.82707691836644,0,0,22.786701,360.12109375,2.2786701,51.4458705357143,1
2021-02-23 05:36:40+00:00,2095.18130687624,54.8193433926533,57.4344753963826,0,0,22.786701,360.12109375,2.2786701,51.4458705357143,0
2021-02-23 05:36:50+00:00,132.176253364179,48.4621849286957,3.20796747562402,0,0,22.786701,360.12109375,2.2786701,51.4458705357143,0
