datetime,in_avg_response_time,in_throughput,in_progress_requests,http_error_count,ballerina_error_count,cpu,memory,cpuPercentage,memoryPercentage,is_anomaly
2021-02-27 12:02:00+00:00,0.0,0.0,0.0,0,0,5.340351,341.0859375,0.5340351,48.7265625,0
2021-02-27 12:02:10+00:00,0.0,0.0,0.0,0,0,5.340351,341.0859375,0.5340351,48.7265625,0
2021-02-27 12:02:20+00:00,0.0,0.0,0.0,0,0,5.340351,341.0859375,0.5340351,48.7265625,0
2021-02-27 12:02:30+00:00,0.0,0.0,0.0,0,0,5.340351,341.0859375,0.5340351,48.7265625,0
2021-02-27 12:02:40+00:00,0.0,0.0,0.0,0,0,5.340351,341.0859375,0.5340351,48.7265625,0
2021-02-27 12:02:50+00:00,2.9875414368454605,169.31766719513035,0.1264608866838653,0,0,5.340351,341.0859375,0.5340351,48.7265625,0
2021-02-27 12:03:00+00:00,0.3990001487491548,140.53591790193843,0.0560738521474724,0,0,92.981139,341.03125,9.2981139,48.71875,0
2021-02-27 12:03:10+00:00,0.8084355888888889,128.56089320321746,0.0513487898613278,0,0,92.981139,341.03125,9.2981139,48.71875,0
2021-02-27 12:03:20+00:00,0.7996170600859822,139.84876040968695,0.055174548865703,0,0,92.981139,341.03125,9.2981139,48.71875,0
2021-02-27 12:03:30+00:00,0.7666969787947877,128.14428096820123,0.0488197721879449,0,0,92.981139,341.03125,9.2981139,48.71875,0
2021-02-27 12:03:40+00:00,0.7449417335302937,137.60683760683762,0.0506167171889838,0,0,92.981139,341.03125,9.2981139,48.71875,0
2021-02-27 12:03:50+00:00,0.7719031875770622,127.11381341440244,0.0485701192285768,0,0,92.981139,341.03125,9.2981139,48.71875,0
2021-02-27 12:04:00+00:00,0.7847818010540184,138.43524496771744,0.0539136163121914,0,0,108.233525,341.15234375,10.8233525,48.73604910714286,0
2021-02-27 12:04:20+00:00,3.1580774564905765,253.59542240025007,0.2002184966378588,0,0,108.233525,341.15234375,10.8233525,48.73604910714286,0
2021-02-27 12:04:30+00:00,0.8367278745982227,135.83418654535174,0.0558277515778557,0,0,108.233525,341.15234375,10.8233525,48.73604910714286,0
2021-02-27 12:04:40+00:00,0.8266392342856894,129.038388445458,0.0527553732421132,0,0,108.233525,341.15234375,10.8233525,48.73604910714286,0
2021-02-27 12:04:50+00:00,0.8160865566015472,134.21227354642892,0.0543716255335293,0,0,108.233525,341.15234375,10.8233525,48.73604910714286,0
2021-02-27 12:05:00+00:00,3.2671755290103075,267.80341538620905,0.2187401913338011,0,0,109.313118,341.56640625,10.9313118,48.795200892857146,0
2021-02-27 12:05:10+00:00,0.7855076491340057,130.5064259567402,0.0505302388123184,0,0,109.313118,341.56640625,10.9313118,48.795200892857146,0
2021-02-27 12:05:20+00:00,0.7778361037889657,137.26607770494917,0.0531560839745416,0,0,109.313118,341.56640625,10.9313118,48.795200892857146,0
2021-02-27 12:05:30+00:00,0.7907079504145408,130.2947029280773,0.0509024094570264,0,0,109.313118,341.56640625,10.9313118,48.795200892857146,0
2021-02-27 12:05:40+00:00,3.0669043968037952,273.06049758289544,0.2093626101576035,0,0,109.313118,341.56640625,10.9313118,48.795200892857146,0
2021-02-27 12:05:50+00:00,0.3915219907539118,133.548632218845,0.0522872263487842,0,0,109.313118,341.56640625,10.9313118,48.795200892857146,0
2021-02-27 12:06:00+00:00,0.7742610787942441,133.86505101560704,0.0518606297463457,0,0,111.120792,341.5234375,11.1120792,48.7890625,0
2021-02-27 12:06:10+00:00,0.7709403958177315,134.97107085269846,0.0516222297258844,0,0,111.120792,341.5234375,11.1120792,48.7890625,0
2021-02-27 12:06:20+00:00,0.7846076902653425,133.447801642648,0.0516955270035866,0,0,111.120792,341.5234375,11.1120792,48.7890625,0
2021-02-27 12:06:30+00:00,0.8048163840496614,137.70180436847104,0.0547073382716049,0,0,111.120792,341.5234375,11.1120792,48.7890625,0
2021-02-27 12:06:40+00:00,0.8227724353772707,132.8253110832449,0.0541795640011575,0,0,111.120792,341.5234375,11.1120792,48.7890625,0
2021-02-27 12:06:50+00:00,0.865767548518455,137.41831612842125,0.0587328277298986,0,0,111.120792,341.5234375,11.1120792,48.7890625,0
2021-02-27 12:07:00+00:00,0.8362590566487661,129.76810222432562,0.0538318502602934,0,0,117.165595,341.91796875,11.7165595,48.84542410714286,0
2021-02-27 12:07:10+00:00,0.8074517302314814,134.05992479154474,0.0533520309661047,0,0,117.165595,341.91796875,11.7165595,48.84542410714286,0
2021-02-27 12:07:30+00:00,0.7919536201166405,136.76553516728234,0.0534410427567271,0,0,117.165595,341.91796875,11.7165595,48.84542410714286,0
2021-02-27 12:07:40+00:00,0.7873625833517399,129.50118764845607,0.0503074763895486,0,0,117.165595,341.91796875,11.7165595,48.84542410714286,0
2021-02-27 12:07:50+00:00,0.7878925534996999,131.3315134971186,0.0512760671064604,0,0,117.165595,341.91796875,11.7165595,48.84542410714286,0
2021-02-27 12:08:00+00:00,0.7574003120266694,136.07444687114233,0.0509240966669831,0,0,106.17972,341.765625,10.617972,48.82366071428572,0
2021-02-27 12:08:10+00:00,0.7730744130884968,128.53616859692426,0.0495991101196126,0,0,106.17972,341.765625,10.617972,48.82366071428572,0
2021-02-27 12:08:20+00:00,0.7911460239318092,134.32126911750737,0.0526378183718058,0,0,106.17972,341.765625,10.617972,48.82366071428572,0
2021-02-27 12:08:30+00:00,0.7676213241377401,130.29470292807733,0.0493330369563157,0,0,106.17972,341.765625,10.617972,48.82366071428572,0
